达人名称,视频笔记报价,模型预估报价,报价偏差,粉丝数
赵露思,150000.0,909624.73,-759624.73,24138951
虞书欣Esther,150000.0,371180.45,-221180.45,10517698
白鹿,150000.0,334248.14,-184248.14,7853300
章若楠,50000.0,213126.94,-163126.94,5563539
我是梓渝,15000.0,173081.52,-158081.52,2018883
檀健次,30000.0,133823.16,-103823.16,2597799
唯佳酱,36666.0,138931.01,-102265.01,3549156
别烦下雨,45000.0,129774.26,-84774.26,3347559
广东夫妇,25200.0,104274.24,-79074.24,2536111
安心妈妈捣蛋雯雯,43800.0,111763.58,-67963.58,2737942
郑丽芬er,170000.0,235087.06,-65087.06,6019168
刘浩存,15000.0,79751.38,-64751.38,1415025
莫西,50000.0,109885.93,-59885.93,2717431
幸运冰阔落,20000.0,77845.66,-57845.66,104102
辛九儿,58000.0,109229.55,-51229.55,2625146
高泽宇,100000.0,148665.72,-48665.72,3153374
许主任,22300.0,66737.25,-44437.25,727475
安七七,35000.0,79066.01,-44066.01,1711827
景甜,70000.0,114031.12,-44031.12,2735668
我的偶像巨顽皮,15000.0,58566.76,-43566.76,997812
胡杏兒 Myolie,1000.0,43915.5,-42915.5,587107
不潘,75000.0,117308.81,-42308.81,2827474
娱乐扒拉酱,9500.0,51242.99,-41742.99,846226
肥宅快乐雕PhatDeal,65000.0,106484.73,-41484.73,866821
林怡伦,112050.0,151967.09,-39917.09,3905714
柯木一,60000.0,99592.85,-39592.85,2320192
上官正义,4000.0,42957.49,-38957.49,112545
莲雾雾雾,7600.0,45652.84,-38052.84,182197
晶晶吃不饱✨,6000.0,43261.47,-37261.47,562206
草莓朵朵,60000.0,97029.0,-37029.0,2312578
唐雨阳,26800.0,63780.74,-36980.74,1254094
哈喽三三,10000.0,46887.43,-36887.43,697476
黄龄,3000.0,39222.13,-36222.13,353988
管家丽丽,25000.0,60711.29,-35711.29,678384
Cynthia曦月,4000.0,39547.93,-35547.93,381437
刘一朵,72000.0,107362.3,-35362.3,2314758
小张对线生活,5170.0,40396.12,-35226.12,513337
一颗门牙的反击,11800.0,46953.84,-35153.84,442380
陈诚,35000.0,69892.67,-34892.67,1446123
飞天小娱警,11000.0,45212.18,-34212.18,555262
赵灵粥-,204.0,34352.02,-34148.02,126151
司南,500.0,34484.39,-33984.39,241152
陈易,9608.0,43105.67,-33497.67,430822
社恐的小崽,2000.0,35054.71,-33054.71,282679
彭雨荷baby双十一活动中,30000.0,62599.34,-32599.34,1207595
摸娱少女,12000.0,43970.73,-31970.73,864598
林夕蔓,40000.0,71791.61,-31791.61,1423745
鸭鸭公主😛,7000.0,38582.51,-31582.51,131951
佟晨洁,10000.0,41236.6,-31236.6,215542
懂成分的花花,6500.0,37668.85,-31168.85,101397
旺旺小小苏,25000.0,56104.6,-31104.6,1008052
致知 ZHIZHI,6900.0,37982.1,-31082.1,116699
王志猩,80000.0,110907.75,-30907.75,2246621
AEynn,6800.0,37601.38,-30801.38,103298
郎影和爷爷,20000.0,50783.69,-30783.69,839527
菲利普Philipp,22000.0,52743.79,-30743.79,764338
曳尾菌,10000.0,40708.8,-30708.8,337485
常远-硬核摄影教学,8000.0,38587.12,-30587.12,133697
有趣探长,2438.0,32686.93,-30248.93,259990
娱乐有范,8000.0,38077.0,-30077.0,414366
焕焕的快乐生活,28500.0,58576.4,-30076.4,1082401
段依娜,60000.0,90067.17,-30067.17,2061845
沙雕网友咸叽叽,55000.0,84902.26,-29902.26,1726230
甜品小妹儿,8136.0,38009.74,-29873.74,421950
秀秀Shelly,7500.0,37326.66,-29826.66,102167
胖仔,1343.0,31035.24,-29692.24,194999
碳烧风见,1000.0,30359.96,-29359.96,181489
一柯汤圆,22000.0,51337.01,-29337.01,856088
我们仨（办公室搞笑版）,15800.0,45082.0,-29282.0,502495
Alice in Hong Kong,5500.0,34761.94,-29261.94,102863
依依说车,30000.0,59252.72,-29252.72,1064706
小象又脾气,6894.0,36145.83,-29251.83,372366
我在大学城,7000.0,36146.44,-29146.44,350569
职场要开心,10000.0,38894.05,-28894.05,484213
二进制尾灯,5100.0,33977.49,-28877.49,303540
莎莎娱乐圈（捡粉丝）,7000.0,35838.84,-28838.84,146058
傻大鹅,8900.0,37729.58,-28829.58,103633
棉棉同学~✨,3000.0,31815.09,-28815.09,231684
悦儿,36800.0,65553.35,-28753.35,1307169
王子明Zimi,3800.0,32544.37,-28744.37,193475
吴佳尼niki,10000.0,38693.8,-28693.8,135478
我的世界胖胖,2500.0,31169.16,-28669.16,213714
明儿,10000.0,38655.17,-28655.17,229649
育婴师莉莉妈咪,9000.0,37603.61,-28603.61,100530
团子（法师教学）,1000.0,29589.92,-28589.92,121508
旺川丘酷,800.0,29130.24,-28330.24,138235
田小野,4000.0,32319.48,-28319.48,120922
菠萝炒牛肉,5000.0,33318.85,-28318.85,204769
桃大又,9000.0,37282.44,-28282.44,404020
郭乐乐,10000.0,38227.48,-28227.48,249624
金社长,7000.0,35214.3,-28214.3,338281
小卖铺老板娘,5000.0,33131.45,-28131.45,272231
张鑫,8000.0,36069.31,-28069.31,267317
野路子邮局,6000.0,34038.07,-28038.07,153927
夏天&六月,6000.0,34017.42,-28017.42,230242
吃瓜小熊,10000.0,37865.66,-27865.66,318378
育育,4500.0,32333.52,-27833.52,190095
不是张嘉佳,6000.0,33774.37,-27774.37,145912
生化Daisy妈解成分,10000.0,37744.56,-27744.56,100406
小鱼教p图,1000.0,28737.08,-27737.08,139743
kkkkkaixin,10000.0,37726.64,-27726.64,103889
珞珞说,8000.0,35715.28,-27715.28,355252
你的狗子（臭屁版）,8000.0,35671.66,-27671.66,355535
4605（晗少,40000.0,67627.76,-27627.76,1159998
元旦快乐,6000.0,33345.79,-27345.79,279763
麦子形象美学,3000.0,30342.69,-27342.69,187534
大连脸脸,12000.0,39331.13,-27331.13,265863
娜姐微景观,1000.0,28290.39,-27290.39,117326
卡齐社小浣熊拆卡,684.0,27948.41,-27264.41,120022
羊小羊,4000.0,31254.92,-27254.92,133511
宅女小当家,10000.0,37200.68,-27200.68,397443
张呈Zhc,5000.0,32170.76,-27170.76,110226
万国正品百货✔进口优选,1000.0,28108.38,-27108.38,113822
徐夕颜,3500.0,30571.31,-27071.31,193025
阿黎成分说,20000.0,47053.15,-27053.15,397919
李哥说机,2000.0,29010.72,-27010.72,140862
千禧,8000.0,35006.02,-27006.02,105961
张以宝,50000.0,76957.33,-26957.33,1621197
泡泡是个营销号,3000.0,29941.28,-26941.28,163824
嗑瓜妙妙屋,6000.0,32935.87,-26935.87,191801
花花幼稚园,3000.0,29919.04,-26919.04,171574
小叮当的一家,180000.0,206898.57,-26898.57,4909007
左缘子,6000.0,32874.45,-26874.45,128476
有点猫饼,2404.0,29273.35,-26869.35,157052
Nope先生,2000.0,28858.12,-26858.12,177335
特雷森Trayson😎,1500.0,28311.84,-26811.84,115084
书影知了,15000.0,41805.84,-26805.84,502406
白小卿,3500.0,30218.77,-26718.77,180238
林星儿,10000.0,36659.11,-26659.11,171401
女王厨房 SurthyCooks,40000.0,66640.65,-26640.65,1098782
阿琰又来晚啦,2999.0,29568.42,-26569.42,162072
趣味小科学,3000.0,29443.98,-26443.98,155887
莹莹Madam,3400.0,29815.83,-26415.83,167397
吴择烯,6000.0,32381.48,-26381.48,156122
抹灰哥书法,1600.0,27973.67,-26373.67,128860
甜崽一直吃,14000.0,40288.7,-26288.7,392927
HE-何太极,6050.0,32331.55,-26281.55,217936
小阳来咯,2800.0,29056.92,-26256.92,163065
小女高,2222.0,28414.88,-26192.88,111571
若溪妹妹,15000.0,41168.79,-26168.79,515010
桃吱吱,3000.0,29159.75,-26159.75,145820
神秘的贺某人：,60000.0,86127.04,-26127.04,1955093
杨舒予,40000.0,66107.23,-26107.23,1216456
糯米甜酒,2200.0,28256.3,-26056.3,114641
小娱丸子,5000.0,31020.94,-26020.94,193584
一粒皮实,18600.0,44603.37,-26003.37,588417
森森Ciela,4000.0,29989.47,-25989.47,171835
妮子在梦游,5000.0,30984.9,-25984.9,191242
七鹤大人,30000.0,55983.18,-25983.18,1000520
天天吃8.,12800.0,38741.2,-25941.2,450882
清蒸机械臂,8500.0,34438.43,-25938.43,299893
小废侃时尚 | 商务版,10000.0,35841.36,-25841.36,345122
外卖员小老弟,5000.0,30830.42,-25830.42,168886
重庆形体模特圆圆老师,20000.0,45829.56,-25829.56,677958
萧闪闪,12000.0,37828.79,-25828.79,242304
kaia大颖子,4500.0,30324.8,-25824.8,183297
是个爱学习的富婆,3800.0,29619.3,-25819.3,164365
大熊搞笑解说,3500.0,29287.92,-25787.92,149492
白蒽,2000.0,27768.29,-25768.29,106587
知名观众赵柠檬,3133.0,28871.34,-25738.34,148328
不会笑的蛙🐸,3500.0,29217.01,-25717.01,110338
真是贞-,6142.0,31829.02,-25687.02,112857
香菜排雷挖掘机,20000.0,45673.82,-25673.82,656570
娱乐大咖,8000.0,33673.23,-25673.23,286730
-大然宝,4000.0,29667.1,-25667.1,163050
杭州街拍,2000.0,27658.58,-25658.58,107395
刘美丽一家的日常,15000.0,40641.33,-25641.33,510443
EE大哥哥,7900.0,33535.66,-25635.66,283696
玲玲,4000.0,29610.38,-25610.38,135441
萝卜耀,3000.0,28597.55,-25597.55,129388
