达人名称,综合价值分,粉丝数,认证类型,视频笔记报价,视频CPE,互动成本指数,粉丝质量指数,内容吸引力指数,省份
赵灵粥-,100.0,126151,腰部达人,204.0,0.03,1.0,0.54473,0.01643076923076923,上海
吃吃_孙涵清,27.7,264467,腰部达人,120000.0,0.1,0.2999997999999428,0.41995948,0.004976923076923078,中国
许主任,19.47,727475,头部达人,22300.0,0.11,0.27272706493500554,0.3159184,0.004976923076923077,中国
郑还好,19.44,102237,腰部达人,20000.0,0.14,0.21428548979585418,0.37581564,0.0033923076923076923,四川
千禧,19.37,105961,腰部达人,8000.0,0.12,0.2499997857142245,0.33712748,0.0016153846153846155,中国
tutu子,18.36,105252,腰部达人,8000.0,0.16,0.1874997678570765,0.38630559,0.0059807692307692305,中国
宅妮酱,17.1,182374,腰部达人,18000.0,0.0,0.001771717154589004,0.36047955,1.0,福建
张呈Zhc,16.97,110226,腰部达人,5000.0,0.24,0.12499974999992856,0.4582,0.004076923076923076,北京
肥宅快乐雕PhatDeal,16.74,866821,头部达人,65000.0,0.21,0.1428568979591137,0.41436900000000004,0.0104,北京
佚晴晴,16.1,179806,腰部达人,12000.0,0.22,0.1363633896103191,0.40568576,0.01596923076923077,中国
田小野,16.03,120922,腰部达人,4000.0,0.22,0.1363633896103191,0.41245059,0.0032538461538461536,蒙古
莲雾雾雾,15.63,182197,腰部达人,7600.0,0.21,0.1428568979591137,0.39120848,0.003180769230769231,浙江
白鹿,15.04,7853300,明星,150000.0,0.24,0.12499974999992856,0.4046175,0.005788461538461538,中国
南昌市消防救援支队,13.78,141681,企业机构号,21300.0,0.27,0.11111085714278457,0.38822399999999996,0.016203846153846155,江西
大连脸脸,13.67,265863,腰部达人,12000.0,0.25,0.11999974857135673,0.37588098,0.005711538461538462,中国
摄影师徐橙橙,13.67,128594,腰部达人,22000.0,21.25,0.0014114793948764657,0.8,0.036046153846153846,中国
也博学长,13.46,277672,腰部达人,28000.0,13.08,0.002293292922592211,0.8,0.006646153846153847,北京
梨与橙,13.41,143415,腰部达人,50000.0,42.41,0.0007070948225680698,0.7944,0.028915384615384617,中国
漫画芋,13.38,179834,腰部达人,28000.0,54.85,0.000546660658858378,0.8,0.020423076923076926,中国
赵露思,13.22,24138951,明星,150000.0,0.33,0.09090883116875695,0.42009132000000005,0.004776923076923077,四川
悠耕果园,13.07,171740,腰部达人,16900.0,67.12,0.0004466750807970007,0.7394819199999999,0.0836,云南
贝拉妈妈,12.98,121181,腰部达人,16000.0,0.0,0.001771717154589004,0.76705628,0.018419230769230768,中国
司南,12.95,241152,明星,500.0,0.29,0.10344801970436031,0.385308,0.00558076923076923,北京
灿灿妈咪,12.87,213701,腰部达人,23000.0,4.97,0.006035933314089598,0.73745126,0.006311538461538461,中国
伊珂妈咪育儿,12.81,122872,腰部达人,14000.0,6.66,0.004504220077138812,0.7424177700000001,0.010584615384615385,中国
苑宝LY,12.73,785224,头部达人,68000.0,163.46,0.0001832454771867398,0.77195656,0.007373076923076922,上海
常远-硬核摄影教学,12.56,133697,腰部达人,8000.0,39.13,0.0007663896899626049,0.73723434,0.037007692307692304,中国
硕士妈Nora,12.52,249623,腰部达人,23000.0,4.93,0.006084908722028398,0.71736571,0.005973076923076923,中国
金麟儿,12.5,213385,腰部达人,23000.0,0.0,0.001771717154589004,0.7452749999999999,0.008396153846153847,黑龙江
BUY家小水梨🍐,12.49,322885,腰部达人,55000.0,73.54,0.00040765565864640086,0.7511247200000001,0.013876923076923075,中国
硕士辣妈cathy,12.48,231207,腰部达人,24000.0,7.46,0.0040211631557976685,0.72920166,0.006453846153846154,黑龙江
陈十五_,12.42,640710,头部达人,45000.0,20.85,0.0014385636175957715,0.73770664,0.015665384615384616,中国
开心和圈圈,12.39,124329,腰部达人,14000.0,0.0,0.001771717154589004,0.7360752,0.0121,中国
艺凝儿🍃,12.37,511928,头部达人,50000.0,0.0,0.001771717154589004,0.74009715,0.004296153846153846,江苏
万鹏er,12.35,195726,明星,30000.0,11.69,0.0025660109983299175,0.73285674,0.004930769230769231,中国
吴佳尼niki,12.32,135478,明星,10000.0,52.18,0.0005746473743913923,0.74038206,0.012323076923076924,中国
夏诗文shwin,12.32,1152613,头部达人,98000.0,114.67,0.0002613346621167467,0.7416465000000001,0.014484615384615384,上海
GEM鄧紫棋,12.32,2556579,明星,150000.0,6.7,0.004477327505249222,0.7176528000000001,0.004992307692307693,中国
VLOG薯,12.31,438167,企业机构号,35700.0,0.0,0.001771717154589004,0.7290838100000001,0.015250000000000001,浙江
kkkkkaixin,12.31,103889,腰部达人,10000.0,32.36,0.0009267850078647611,0.7328800000000001,0.018796153846153844,中国
阿黎成分说,12.29,397919,腰部达人,20000.0,36.56,0.0008202834478709194,0.7411524,0.005784615384615385,上海
Coco叩叩_,12.29,114497,腰部达人,16960.0,371.39,8.049192792628243e-05,0.73727604,0.020265384615384612,中国
鸭鸭公主😛,12.28,131951,腰部达人,7000.0,0.0,0.001771717154589004,0.7308882000000001,0.010403846153846152,河南
吉娜GinaWang,12.27,381684,腰部达人,40000.0,36.5,0.0008216323286855576,0.74108534,0.004569230769230769,上海
菜鸡学绘画,12.27,248729,腰部达人,,0.0,0.001771717154589004,0.72208962,0.0223,中国
帕丁顿小毛肚Jin,12.27,132642,腰部达人,15550.0,20.35,0.0014739161810346686,0.73250244,0.010238461538461538,英国
Summer Wayfarer,12.24,275112,腰部达人,70000.0,68.05,0.00044056672606514413,0.7416603,0.004915384615384615,云南
护肤狂人宋百万,12.21,135963,腰部达人,20000.0,158.0,0.00018958775760373546,0.7351850600000001,0.014888461538461538,中国
HeyOlivia,12.17,144762,腰部达人,20496.0,15.22,0.001970805518972405,0.7211101999999999,0.012534615384615384,China
管家丽丽,12.16,678384,头部达人,25000.0,12.05,0.0024893415529713267,0.71476941,0.01599230769230769,中国
王鸥,12.16,1292917,明星,150000.0,36.32,0.0008257057110575159,0.7322448,0.007196153846153846,北京
尼莫西,12.16,167599,腰部达人,16000.0,0.0,0.001771717154589004,0.72146827,0.012896153846153845,江西
致知 ZHIZHI,12.16,116699,企业机构号,6900.0,0.0,0.001771717154589004,0.71741873,0.019230769230769232,上海
舒淇,12.15,1562664,明星,121900.0,20.62,0.0014546128584469605,0.72848272,0.005315384615384615,中国台湾
昕桐吖,12.15,218808,腰部达人,30000.0,0.0,0.001771717154589004,0.7270454399999999,0.003646153846153846,天津
秀秀Shelly,12.14,102167,腰部达人,7500.0,0.0,0.001771717154589004,0.7097953,0.029411538461538458,江西
